Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
67d7ed45-8c77-4cce-8bc2-03ea5d15490f,,,"Death Note, Pronounced Death Date and Time",Pronounced Death date and time,,Misc,Datetime,,,,,,,,,,,
dcad4e00-30aa-44dd-bb59-e9e61c62361c,,,"Death Note, Cure Hospital",Cure Hospital,,Misc,N/A,,,,,,,,,,,
4c04102c-5408-433d-a8e5-d2690ad62bef,,,"Death Note, Other Hospital",Other Hospital,,Misc,N/A,,,,,,,,,,,
a3ac42ae-d3d7-47f8-8672-75aa06b7c79c,,,"Death Note, Home",Home,,Misc,N/A,,,,,,,,,,,
1142457e-c414-4c98-af13-d29bf4ca00e8,,,"Death Note, Unknown",Unknown,,Misc,N/A,,,,,,,,,,,
95a90faa-403a-4b80-a033-74c8d988458d,,,"Death Note, Place of Death",Place of Death,,Misc,Coded,,"Death Note, Cure Hospital; Death Note, Other Hospital; Death Note, Home; Death Note, Unknown",,,,,,,,,
2007f389-084d-4c81-af8f-2f862197b951,,,"Death Note, Primary Cause of Death",Primary/Possible Cause of Death,,Misc,Coded,,,,,,,,,,,
1ba8c5cf-026b-4454-833a-633a6b802931,,,"Death Note, Other Co-morbidities",Other co-morbidities,,Misc,Text,,,,,,,,,,,
2ef7c78e-262d-45c5-a104-5f5b6da808d2,,,"Death Note, Events Surrounding Death",Events Surrounding Death,,Misc,Text,,,,,,,,,,,
e5c1a219-6295-4cb9-a6e3-6a4080e29c5f,,,"Death Note, Hospital Staff",Hospital Staff,,Misc,N/A,,,,,,,,,,,
74deea1d-92f6-465b-ae66-9a4015e082e0,,,"Death Note, Home Visit",Home Visit,,Misc,N/A,,,,,,,,,,,
cf3945d4-8937-42b1-b27f-1433935e4fbb,,,"Death Note, Phone Call",Phone Call(Verbal Autospy),,Misc,N/A,,,,,,,,,,,
ed1f744c-66c1-4bd4-bf35-8daa1290a6b0,,,"Death Note, Death Notified Via",Death Notified Via,,Misc,Coded,,"Death Note, Hospital Staff; Death Note, Home Visit; Death Note, Phone Call",,,,,,,,,
208c3975-77f7-43bb-aca3-b5ffa9c1bfcc,,,Death Note,Death Note,Death Note,Misc,N/A,,,"Death Note, Pronounced Death Date and Time; Death Note, Place of Death; Death Note, Primary Cause of Death; Death Note, Other Co-morbidities; Death Note, Events Surrounding Death; Death Note, Death Notified Via",,,,,,,,
