Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
9f4b8f43-bf18-4570-8c3f-cf495bd757aa,,,PIH (Post-infectious hydro),,,Misc,N/A,,,,,,,,,,,
4c404204-a184-4c0a-a8f6-84ebe254425c,,,AS (Aqueductal Stenosis),,,Misc,N/A,,,,,,,,,,,
b7accaec-c200-4878-8c29-394e01ab696f,,,CIH (Congenital Idiopathic Hydrocephalus),,,Misc,N/A,,,,,,,,,,,
ee55f7e9-911b-4f58-b702-c6fe815cf33f,,,Cyst,,,Misc,N/A,,,,,,,,,,,
8c4ddde2-4ab5-44c5-a841-380ce2201563,,,DWC (Dandy-Walker Complex),,,Misc,N/A,,,,,,,,,,,
8ba46dc4-967d-4153-a3cc-6b9a694e4622,,,EC (Encephalocele),,,Misc,N/A,,,,,,,,,,,
f8655f9a-b23b-4721-856c-a4b1888e7663,,,MM (Myelomeningocele),,,Misc,N/A,,,,,,,,,,,
95c68024-7f01-401f-a187-5009f77090fd,,,PHH (Post-hemorrhagic hydro),,,Misc,N/A,,,,,,,,,,,
316f187c-7816-46b0-bd3b-9b1f0ffbea75,,,Tumor,,,Misc,N/A,,,,,,,,,,,
9813d5d7-adb6-47ce-a3e4-b8ea30e0727f,,,Other,Other,,Misc,N/A,,,,,,,,,,,
281d90fd-b196-4674-a64d-d81e861b6789,,,NPIH (None Post Infectious Hydro),,,Misc,Coded,,AS (Aqueductal Stenosis); CIH (Congenital Idiopathic Hydrocephalus); Cyst; DWC (Dandy-Walker Complex); EC (Encephalocele); MM (Myelomeningocele); PHH (Post-hemorrhagic hydro); Tumor; Other,,,,,,,,,
da4aec61-c551-4ca7-b3dd-0db84ab7bb85,,,Hx Code,Hx Code,,Misc,Coded,,PIH (Post-infectious hydro); NPIH (None Post Infectious Hydro),,,,,,,,,
4c404204-a184-4c0a-a8f6-84ebe254425c,,,AS (Aqueductal Stenosis),,,Misc,N/A,,,,,,,,,,,
b7accaec-c200-4878-8c29-394e01ab696f,,,CIH (Congenital Idiopathic Hydrocephalus),,,Misc,N/A,,,,,,,,,,,
ee55f7e9-911b-4f58-b702-c6fe815cf33f,,,Cyst,,,Misc,N/A,,,,,,,,,,,
8c4ddde2-4ab5-44c5-a841-380ce2201563,,,DWC (Dandy-Walker Complex),,,Misc,N/A,,,,,,,,,,,
8ba46dc4-967d-4153-a3cc-6b9a694e4622,,,EC (Encephalocele),,,Misc,N/A,,,,,,,,,,,
